qb id,Diameter,Tool number,name,type id
1351,0.10938,22,CDRL - 0.10938 - 1351,5
1361,0.25,1,CDRL - 0.25 - 1361,5
1363,1,2,CSNK - 1 - 82 - 1363,7
1481,0.1875,26,BULL - 0.1875 x 0.625 -CH - 1481,3
1483,0.25,25,BULL - 0.25 x 0.75 x 0.03r - 1483,3
1484,0.3125,13,BULL - 0.3125 x 0.75 x 0.03r - 1484,3
1485,0.375,12,BULL - 0.375 x 0.875 x 0.03r - 1485,3
1486,0.4375,26,BULL - 0.4375 x 1.125 x 0.015r - 1486,3
1487,0.5,27,BULL - 0.5 x 1 x 0.03r - 1487,3
1488,0.625,17,BULL - 0.625 x 1.625 x 0.03r - 1488,3
1489,0.75,18,BULL - 0.75 x 1.5 x 0.015r - 1489,3
1677,0.3149,19,CTAP - M8 x 1.25 - 6H - 1677,2
1682,,10,CTAP - 1/4 x 20 - H3 - 1682,2
1683,,23,CTAP - 5/16 x 18 - H3 - 1683,2
1684,,11,CTAP - 3/8 x 16 - H3 - 1684,2
1688,,20,CTAP - 5/8 x 11 - H3 - 1688,2
1689,,14,CTAP - 3/4 x 10 - H3 - 1689,2
1690,,37,CTAP - 7/8 x 9 - H4 - 1690,2
1703,,15,CTAP - 1/2 x 13 - H3 - 1703,2
1819,0.201,2,DRIL - 0.201 - 1819,1
1831,0.257,24,DRIL - 0.257 - 1831,1
1846,0.368,6,DRIL - 0.368 - 1846,1
1868,0.2656,7,DRIL - 0.2656 - 1868,1
1869,0.2813,14,DRIL - 0.2813 - 1869,1
1871,0.3125,8,DRIL - 0.3125 - 1871,1
1877,0.4063,16,DRIL - 0.4063 - 1877,1
1878,0.4219,16,DRIL - 0.4219 - 1878,1
1882,0.4844,31,DRIL - 0.4844 - 1882,1
1885,0.5313,21,DRIL - 0.5313 - 1885,1
1893,0.6563,5,DRIL - 0.6563 - 1893,1
1900,0.7656,36,DRIL - 0.7656 - 1900,1
1916,6,4,HIFD - 6 - 1916,4
1918,6,3,FACE - 6 x 90 Deg - 1918,4
2006,0.499,30,REAM - 0.499 - 2006,6
2122,0.3745,9,REAM - 0.3745 - 2122,6
